player_id,game_date,stat,line,direction,predicted_prob,hit
"(1630631, '2024-25')",2024-11-11,PRA,20,over,0.5087,0
"(1642274, '2024-25')",2024-11-11,POINTS,5,over,0.6724,1
"(1642274, '2024-25')",2024-11-11,REBOUNDS,5,under,0.2732,0
"(1642274, '2024-25')",2024-11-11,ASSISTS,1,under,0.2452,0
"(1642274, '2024-25')",2024-11-11,PRA,12,over,0.612,1
"(203471, '2024-25')",2024-11-11,POINTS,20,over,0.5588,0
"(203471, '2024-25')",2024-11-11,REBOUNDS,3,over,0.5218,1
"(203471, '2024-25')",2024-11-11,ASSISTS,6,under,0.3597,1
"(203471, '2024-25')",2024-11-11,PRA,29,under,0.4421,1
"(1629661, '2024-25')",2024-11-11,POINTS,18,under,0.5387,1
"(1629661, '2024-25')",2024-11-11,REBOUNDS,4,over,0.617,0
"(1629661, '2024-25')",2024-11-11,ASSISTS,3,over,0.5869,0
"(1629661, '2024-25')",2024-11-11,PRA,25,under,0.4912,1
"(1630533, '2024-25')",2024-11-11,POINTS,8,under,0.4764,0
"(1630533, '2024-25')",2024-11-11,REBOUNDS,4,under,0.4148,0
"(1630533, '2024-25')",2024-11-11,ASSISTS,1,under,0.3344,1
"(1630533, '2024-25')",2024-11-11,PRA,13,under,0.4829,0
"(1630560, '2024-25')",2024-11-11,POINTS,25,over,0.5105,0
"(1630560, '2024-25')",2024-11-11,REBOUNDS,3,under,0.4102,0
"(1630560, '2024-25')",2024-11-11,ASSISTS,3,over,0.6911,0
"(1630560, '2024-25')",2024-11-11,PRA,31,under,0.5073,1
"(1630592, '2024-25')",2024-11-11,POINTS,8,under,0.4933,0
"(1630592, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6358,0
"(1630592, '2024-25')",2024-11-11,ASSISTS,2,over,0.6102,1
"(1630592, '2024-25')",2024-11-11,PRA,13,over,0.5272,1
"(1628464, '2024-25')",2024-11-11,POINTS,3,under,0.3127,0
"(1628464, '2024-25')",2024-11-11,REBOUNDS,3,over,0.63,1
"(1628464, '2024-25')",2024-11-11,ASSISTS,1,under,0.2896,1
"(1628464, '2024-25')",2024-11-11,PRA,8,under,0.426,0
"(1629750, '2024-25')",2024-11-11,POINTS,5,over,0.5889,1
"(1629750, '2024-25')",2024-11-11,REBOUNDS,3,under,0.4787,0
"(1629750, '2024-25')",2024-11-11,ASSISTS,1,over,0.5069,1
"(1629750, '2024-25')",2024-11-11,PRA,9,over,0.496,1
"(1630526, '2024-25')",2024-11-11,POINTS,6,under,0.439,0
"(1630526, '2024-25')",2024-11-11,REBOUNDS,3,under,0.2698,0
"(1630526, '2024-25')",2024-11-11,ASSISTS,1,over,0.6078,1
"(1630526, '2024-25')",2024-11-11,PRA,10,over,0.5577,1
"(201587, '2024-25')",2024-11-11,POINTS,4,over,0.5048,0
"(201587, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6509,1
"(201587, '2024-25')",2024-11-11,ASSISTS,2,under,0.4295,1
"(201587, '2024-25')",2024-11-11,PRA,9,under,0.574,1
"(1626181, '2024-25')",2024-11-11,POINTS,26,over,0.3952,1
"(1626181, '2024-25')",2024-11-11,REBOUNDS,4,under,0.4726,1
"(1626181, '2024-25')",2024-11-11,ASSISTS,2,under,0.3196,0
